CDP Name, Total Housing Units, Seasonal Housing Units,  % Seasonal,Occupied Housing Units (Households), Owner Occupied Units, Renter Occupied Units, % Owner Occupied, Ave. Household Size,Ave. Owner Household Size,Ave. Renter Household Size, Owner Vacancy Rate, Renter Vacancy Rate,Pop. In Owner Occupied Units,Pop. In Renter Occupied Units," Vacant Housing Units Sold, Not Occupied", Vacant Housing Units For Sale Only," Vacant Housing Units Rented, Not Occupied", Vacant Housing Units For Rent
Southampton village,"3,314","1,765",53.3%,"1,263",865,398,68.5%,0.80,1.15,0.05,1.1%,0.0%,"1,862",992,18,88,11,68
Southold CDP,"3,996","1,378",34.5%,"2,414","2,028",386,84.0%,0.42,0.49,0.04,0.2%,0.0%,"4,725",989,16,57,4,34
Springs CDP,"4,340","1,781",41.0%,"2,318","1,780",538,76.8%,0.85,1.10,0.02,0.2%,0.0%,"4,638","1,954",10,60,4,64
St. James CDP,"4,741",43,0.9%,"4,535","4,064",471,89.6%,0.25,0.27,0.03,0.0%,0.0%,"11,764","1,114",12,43,2,41
Stony Brook CDP,"5,042",62,1.2%,"4,846","4,361",485,90.0%,0.27,0.29,0.02,0.0%,0.0%,"12,371","1,274",12,42,1,23
Stony Brook University CDP,26,0,0.0%,26,23,3,88.5%,0.58,0.65,0.00,0.0%,0.0%,80,15,0,0,0,0
Terryville CDP,"3,971",40,1.0%,"3,827","2,930",897,76.6%,0.53,0.69,0.01,0.1%,0.0%,"9,728","2,036",9,32,3,28
Tuckahoe CDP,865,294,34.0%,480,328,152,68.3%,0.94,1.36,0.03,0.9%,0.0%,912,446,4,16,3,24
Village of the Branch village,645,3,0.5%,625,530,95,84.8%,0.22,0.26,0.00,0.0%,0.0%,"1,645",140,0,11,0,1
Wading River CDP,"3,090",281,9.1%,"2,716","2,481",235,91.3%,0.20,0.22,0.02,0.0%,0.0%,"7,045",538,4,31,0,15
Wainscott CDP,876,549,62.7%,264,201,63,76.1%,0.65,0.85,0.02,2.2%,0.0%,438,170,1,17,5,8
Water Mill CDP,"2,085","1,261",60.5%,652,574,78,88.0%,0.31,0.32,0.24,1.0%,0.0%,"1,368",184,19,38,6,14
West Babylon CDP,"15,091",38,0.3%,"14,537","10,645","3,892",73.2%,0.59,0.81,0.01,0.1%,0.0%,"34,004","8,590",26,134,12,165
West Bay Shore CDP,"1,818",42,2.3%,"1,720","1,611",109,93.7%,0.17,0.18,0.04,0.1%,0.0%,"4,341",289,4,17,1,5
West Hampton Dunes village,272,235,86.4%,24,23,1,95.8%,0.13,0.09,1.00,0.0%,0.0%,53,2,1,4,0,6
West Hills CDP,"2,037",6,0.3%,"1,974","1,846",128,93.5%,0.18,0.19,0.02,0.1%,0.0%,"5,209",355,3,19,1,6
West Islip CDP,"9,266",25,0.3%,"9,040","8,332",708,92.2%,0.19,0.20,0.02,0.0%,0.0%,"26,227","1,692",16,69,4,28
West Sayville CDP,"2,124",308,14.5%,"1,771","1,485",286,83.9%,0.30,0.35,0.01,0.0%,0.0%,"4,400",526,3,9,0,13
Westhampton Beach village,"2,376","1,553",65.4%,691,437,254,63.2%,0.97,1.51,0.03,0.2%,0.0%,"1,027",662,8,36,1,44
Westhampton CDP,"2,120",890,42.0%,"1,045",780,265,74.6%,0.75,0.99,0.06,0.6%,0.0%,"2,093",773,15,56,5,30
Wheatley Heights CDP,"1,517",0,0.0%,"1,480","1,265",215,85.5%,0.37,0.43,0.01,0.0%,0.0%,"4,539",542,2,14,0,13
Wyandanch CDP,"3,157",1,0.0%,"2,926","1,718","1,208",58.7%,1.53,2.60,0.00,0.1%,0.0%,"7,096","4,461",4,42,2,60
Yaphank CDP,"1,961",21,1.1%,"1,872","1,645",227,87.9%,0.33,0.37,0.04,0.0%,0.0%,"4,413",608,9,16,0,10
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
